"tipomov";"c_modelo";"c_fil";"c_op";"c_discrim";"c_mov";"c_cfop";"c_preco";"c_prcusto";"unidade";"qtdsaidas";"qtdentradas";"c_data";"c_codprod";"c_descr";"c_familia";"c_chavenfe";"participante"
Entradas por NF-e Emissao de Terceiros;"55";"00";"04";NF-E COMPRA P/ USO E CONSUMO;"1";"1556";246.000000;246.000;UND;0;1.000;2021-11-08;"00020";LEITOR CODIGO BARRAS LASER 1D GA126 MULTILASER;;"22211110433267000126550010000314741832610963";IMPRESSAO & CIA EMPREEND. EM INFORMATICA
Entradas por NF-e Emissao de Terceiros;"55";"00";"04";NF-E COMPRA P/ USO E CONSUMO;"1";"2556";390.000000;390.000;UND;0;2.000;2021-11-08;"00021";PROC INTEL CORE I5 LGA 1155;;"23211016571889000288550010000200981021253206";JAB COMERCIO E DIST. ELETRO ELET. LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";8.330000;8.330;CX ;0;7.000;2021-11-08;"00012";AGUA SANITARIA 5L AFIK;;"22211104331432000136550010000168431000270365";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"04";NF-E COMPRA P/ USO E CONSUMO;"1";"2556";430.000000;430.000;UND;0;2.000;2021-11-08;"00030";NOBREAK MCM UPS 700VA ONE 3.1 TRI/115V;;"23211016571889000288550010000200981021253206";JAB COMERCIO E DIST. ELETRO ELET. LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";32.940000;32.940;UND;0;7.000;2021-11-08;"00013";DESINFETANTE CONC FLORAL 1:10 5LT CX/04 GL;;"22211104331432000136550010000168431000270365";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"04";NF-E COMPRA P/ USO E CONSUMO;"1";"2556";180.000000;180.000;UND;0;2.000;2021-11-08;"00027";GABINETE ATX C3 TECH MT-23V2BK C/FTE 200W;;"23211016571889000288550010000200981021253206";JAB COMERCIO E DIST. ELETRO ELET. LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";32.940000;32.940;CX ;0;5.000;2021-11-08;"00002";DESINFETANTE CONC LAVANDA 1:10 5LT;;"22211104331432000136550010000168431000270365";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"04";NF-E COMPRA P/ USO E CONSUMO;"1";"2556";300.000000;300.000;UND;0;2.000;2021-11-08;"00029";MEMORIA WINMEMORY 8GB;;"23211016571889000288550010000200981021253206";JAB COMERCIO E DIST. ELETRO ELET. LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";32.940000;32.940;BB ;0;7.000;2021-11-08;"00014";DESINFETANTE CONC IGUATEMI 1:10;;"22211104331432000136550010000168431000270365";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"04";NF-E COMPRA P/ USO E CONSUMO;"1";"2556";600.000000;600.000;UND;0;2.000;2021-11-08;"00028";"MON LED PCTOP 17"" MLP170HDMI - 0081817-01";;"23211016571889000288550010000200981021253206";JAB COMERCIO E DIST. ELETRO ELET. LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";27.880000;27.880;BB ;0;14.000;2021-11-08;"00006";DETERGENTE DESCARBONIZANTE 5L;;"22211104331432000136550010000168431000270365";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"04";NF-E COMPRA P/ USO E CONSUMO;"1";"2556";380.000000;380.000;UND;0;2.000;2021-11-08;"00022";PL MAE ISYNC H61 DDR3 1155;;"23211016571889000288550010000200981021253206";JAB COMERCIO E DIST. ELETRO ELET. LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";11.250000;11.250;BB ;0;5.000;2021-11-08;"00015";DICLOR 2% 5L;;"22211104331432000136550010000168431000270365";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"04";NF-E COMPRA P/ USO E CONSUMO;"1";"2556";10.000000;10.000;UND;0;2.000;2021-11-08;"00024";MOUSE MAXPRINT USB PRETO PCG 606157;;"23211016571889000288550010000200981021253206";JAB COMERCIO E DIST. ELETRO ELET. LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";16.920000;16.920;BB ;0;15.000;2021-11-08;"00016";LIMPA VIDRO (VIDROLIM) 5L;;"22211104331432000136550010000168431000270365";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"04";NF-E COMPRA P/ USO E CONSUMO;"1";"2556";200.000000;200.000;UND;0;2.000;2021-11-08;"00025";LICENCA DE USO WINDOWS 10 PROFISSIONAL OEM;;"23211016571889000288550010000200981021253206";JAB COMERCIO E DIST. ELETRO ELET. LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";109.650000;109.650;BB ;0;5.000;2021-11-08;"00017";NEUCLOR NEUTRALIZANTE 20KG;;"22211104331432000136550010000168431000270365";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"04";NF-E COMPRA P/ USO E CONSUMO;"1";"2556";30.000000;30.000;UND;0;2.000;2021-11-08;"00023";TECLADO MAXPRINT USB PRETO 608145;;"23211016571889000288550010000200981021253206";JAB COMERCIO E DIST. ELETRO ELET. LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";14.860000;13.027;CX ;0;12.000;2021-11-08;"00018";RISOFT AMACIANTE P/ ROUPA AZUL 5L;;"22211104331432000136550010000168431000270365";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"04";NF-E COMPRA P/ USO E CONSUMO;"1";"2556";170.000000;170.000;UND;0;2.000;2021-11-08;"00026";HD SEAGATE 500GB SATA;;"23211016571889000288550010000200981021253206";JAB COMERCIO E DIST. ELETRO ELET. LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";8.000000;8.000;PCT;0;30.000;2021-11-08;"00019";PAPEL TOALHA INTERF BRANCO C/1000 FOLHAS;;"22211104331432000136550010000168431000270365";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";300.320000;300.320;MIL;0;1.000;2021-11-08;"00010";SACOS P/ LIXO FLIK AZUL 100 LT (75X105X3);;"22211139556110000170550010000007831551311728";KAZOLY ECOLOGICA EIRELI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";192.213333;192.213;MIL;0;1.500;2021-11-08;"00011";SACOS P/ LIXO FLIK AZUL 50 LT (63X80X3);;"22211139556110000170550010000007831551311728";KAZOLY ECOLOGICA EIRELI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";7.860000;7.860;UND;0;1.000;2021-11-08;"00001";LIMPICK DESINCRUSTANTE -;;"22211104331432000136550010000168311000270151";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";32.940000;29.280;CX ;0;1.000;2021-11-08;"00002";DESINFETANTE CONC LAVANDA 1:10 5LT;;"22211104331432000136550010000168311000270151";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";15.840000;15.840;CX ;0;1.000;2021-11-08;"00003";LAVEX DETERGENTE NEUTRO P.U 5L CX/04;;"22211104331432000136550010000168311000270151";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";51.780000;51.780;BB ;0;1.000;2021-11-08;"00004";LAVEX CT - DETERG. NEUTRO CONC. 5L;;"22211104331432000136550010000168311000270151";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";67.770000;67.770;BB ;0;1.000;2021-11-08;"00005";DELPISO FLORAL - LIMPADOR GERAL 5L;;"22211104331432000136550010000168311000270151";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";38.370000;34.530;BB ;0;1.000;2021-11-08;"00006";DETERGENTE DESCARBONIZANTE 5L;;"22211104331432000136550010000168311000270151";RICEK INDUSTRIA E COMERCIO LTDA
